162796009,Anulus fibrosus of intervertebral disc of cervical vertebra|Entire anulus fibrosus of intervertebral disc of cervical vertebra (body structure)
54268001,"""Pelvic lymph node|Lymph node of pelvis|Pelvic lymph node"
307021000,Proximal musculotendinous junction of rectus femoris (body structure)
73041003,Structure of tip of tongue (body structure)|Tip of tongue|Border of tongue
5379004,Small intestine muscularis propria structure (body structure)|Small intestine muscularis propria
362129001,Entire lower third of oesophagus|Entire lower third of esophagus (body structure)
9261005,Tendon and tendon sheath of second toe|Structure of tendon and tendon sheath of second toe (body structure)
274430003,Arteriolae rectae of kidney|Structure of arteriolae rectae of kidney (body structure)
245231004,Tendon of second plantar interosseus muscle (body structure)
314718006,Segment of maxilla (body structure)
26339004,Posterior tubercle of talus|Structure of posterior tubercle of talus (body structure)
61492009,Hepatic lymph node|Portal lymph node|Structure of hepatic lymph node (body structure)
182470004,Collateral ligament of fourth metatarsophalangeal joint (body structure)
83921002,Spinal nerve communicating branch|Structure of spinal nerve communicating branch (body structure)
361024006,Skin of part of fifth toe (body structure)
88503008,Fourth metatarsal articular facet of third metatarsal bone|Structure of fourth metatarsal articular facet of third metatarsal bone (body structure)
28134006,Structure of alveolar epithelium (body structure)|Alveolar epithelium
60383004,Diaphragmatic surface of heart|Posterior surface of heart|Structure of diaphragmatic surface of heart (body structure)
66439001,Structure of inferior omental bursa (body structure)|Inferior omental bursa|Epiploic bursa
245672007,Mesial-occlusal-lingual (body structure)
244464009,Ulnar digital nerve of little finger (body structure)
81922002,"""Rectosigmoid|Rectosigmoid structure (body structure)|Rectum and sigmoid colon"
368348001,Entire skin of ring finger (body structure)|Skin of ring finger
279161000,Nucleus centralis medialis|Nucleus centralis medialis (body structure)|Entire central medial nucleus of thalamus (body structure)|Central medial nucleus of thalamus
10036009,"""Structure of nucleus pulposus of intervertebral disc of eighth thoracic vertebra (body structure)|Nucleus pulposus"
371403006,Structure of parenchyma of thymus (body structure)
279785002,Entire cochlear window (body structure)|RW - Round window|Round window
299717005,"""Carotid"
369365002,Structure of vein of the uncus (body structure)|Vein of the uncus
360869007,Facet of medial cuneiform bone|Facet of medial cuneiform bone (body structure)|Structure of articular facet of medial cuneiform bone (body structure)
362631006,Entire infrapalpebral fold (body structure)
303999007,Flexor of atlanto-occipital joint (body structure)
278831000,Entire deep inguinal ring (body structure)|Deep inguinal ring
10439005,Dorsal subaponeurotic space (body structure)
245895000,C6/C7 intertransverse ligament (body structure)
129122007,Accessory thyroid (body structure)
12244006,Structure of crista ampullaris (body structure)|Ampullary crest|Crista ampullaris
280921004,Superior half of retina (body structure)
76064008,Distal shaft of radius|Structure of distal shaft of radius (body structure)
21421005,Entire upper border of first rib (body structure)|Dorsal border of first rib|Upper border of first rib|Upper surface of first rib|Dorsal surface of first rib
110708006,"""Middle ear AND mastoid cells|Middle ear and mastoid cells"
421480009,Lower extremity or both lower extremities (body structure)
47057005,Structure of first costal cartilage (body structure)|First costal cartilage
56044004,Lamina vasculosa of choroid|Outer layer of choroid proper|Structure of lamina vasculosa of choroid (body structure)
361983000,Entire hilum of left lung (body structure)
303978009,Skin of part of ankle and foot (body structure)
15512001,Lateral basal segment of left lower lobe of lung|Lateral basal segment of left lower lobe|Structure of lateral basal segment of left lower lobe of lung (body structure)
42267001,Pericardial fat (body structure)
84607009,Skin of heel|Skin structure of heel (body structure)
181559005,Entire skin of medial surface of lower leg (body structure)|Skin of medial aspect of leg|Skin of medial surface of crural region
81440007,Extensor pollicis longus muscle|EPL - Extensor pollicis longus|Extensor pollicis longus|Extensor pollicis longus muscle structure (body structure)
304570002,Ligament of ankle or foot|Ligament of ankle and/or foot (body structure)|Ligament of ankle and foot (body structure)|Ligament of ankle and foot
280654004,Valve of Taillefer (body structure)
368170007,Entire trapezoid ligament (body structure)|Trapezoid ligament
119547000,Head of metatarsal bone|Head of metatarsal|Structure of head of metatarsal bone (body structure)|Head of metatarsal bone (body structure)
19001003,Lateral spinothalamic tract|Structure of lateral spinothalamic tract (body structure)
37274004,Structure of gastroduodenal artery (body structure)|Gastroduodenal artery
66977000,Orbicularis oris muscle structure (body structure)|Orbicularis oris muscle
34753009,Trabecula septomarginalis|Moderator band|Structure of trabecula septomarginalis (body structure)
180971002,Spinal nerve root C3 (body structure)
362726001,Entire processus vaginalis peritonei (body structure)|Processus vaginalis peritonei|Canal of Nuck
18514004,Ventral border of second rib|Entire under border of second rib (body structure)|Under border of second rib|Ventral surface of second rib|Under surface of second rib
71705003,Dorsal lingual branches of lingual artery|Structure of dorsal lingual branch of lingual artery (body structure)|Dorsal lingual branch of lingual artery
369312009,Parietotemporal branch of middle cerebral artery|Structure of parietotemporal branch of middle cerebral artery (body structure)|Parietotemporal branches of middle cerebral artery
144430006,Oral portion of nasopharynx|Entire oral portion of nasopharynx (body structure)
303805005,Lateral rotator of hip joint|External rotator of hip joint (body structure)
362577005,Entire spiral canal of modiolus (body structure)
439358001,Medial aspect of first metatarsophalangeal joint (body structure)
39691001,Iliofemoral ligament|Iliofemoral ligament structure (body structure)
422473009,Structure of tributary of left renal vein (body structure)
64691005,Pedicle of fourth lumbar vertebra|Structure of pedicle of fourth lumbar vertebra (body structure)
80655000,Ventral sac of rumen (body structure)
408722000,Cervicothoracic spine (body structure)
360850002,Structure of articular surface of phalanx of hand (body structure)|Articular surface of phalanx of hand|Articular surface of phalanx of hand (body structure)
67186000,"""Structure of arch of lumbar vertebra (body structure)|Arch of lumbar vertebra|Arch of lumbar vertebra"
58344004,Sebaceous lobule (body structure)
312583006,Vascular structure of pelvic organ (body structure)
277926003,Right surface of heart (body structure)
36051002,Subhepatic fossa|Subhepatic recess (body structure)|recessus subhepaticus NA
58742003,"""Sesamoid bones of foot"
361917007,Entire puboprostatic ligament (body structure)
21512007,Appendiceal crypt of LieberkÃ¼hn (body structure)|Appendiceal crypt of Lieberkuhn (body structure)|Appendiceal crypt of Lieberkuhn
58931002,Structure of lesser splanchnic nerve (body structure)|Lesser splanchnic nerve
360467000,Layer of frontal lobe (body structure)
300056004,Digital nerve of foot (body structure)
314475001,Tendon of longissimus (body structure)
63401003,Fibrous sheath of finger|Structure of fibrous sheath of finger (body structure)
63761000,"""Glomus (body structure)|Glomus"
279786001,Hamulus of the bony spiral lamina of the cochlear canal (body structure)
314149007,Right occipital lobe|Entire right occipital lobe (body structure)
277946008,Fasciculoventricular connection (body structure)
52683004,Articular part of tubercle of fourth rib|Entire articular part of tubercle of fourth rib (body structure)
367848008,Nucleus pulposus of intervertebral disc of third thoracic vertebra|Entire nucleus pulposus of intervertebral disc of third thoracic vertebra (body structure)
181092008,Plantar digital nerve to fourth toe (body structure)
421114004,Entire maxillary left canine tooth (body structure)
277857004,External urethral sphincter|Entire sphincter urethrae muscle (body structure)
4276000,Structure of inferior articular process of seventh cervical vertebra (body structure)|Caudal articular process of seventh cervical vertebra|Inferior articular process of seventh cervical vertebra
281195006,T1 vertebral foramen (body structure)
47921002,Skin of lateral surface of fourth toe|Skin structure of lateral surface of fourth toe (body structure)
120574008,Upper extremity part (body structure)
386096005,Foot joint synovium (body structure)
63029009,Skin of gluteal fold|Skin structure of gluteal fold (body structure)
362126008,Entire mucous membrane of hypopharynx (body structure)
280255007,Deep temporal nerve|Entire deep temporal nerve (body structure)
76266004,Intermetatarsal joint structure (body structure)|Intermetatarsal joint
280241004,Entire anterior superior alveolar nerve (body structure)|Anterior superior alveolar nerve
58223001,Renal area cribrosa|Renal area cribrosa structure (body structure)
245614003,Primary upper right molar tooth|Primary upper right molar tooth (body structure)|Entire primary upper right molar tooth (body structure)
12013007,Anulus fibrosus of intervertebral disc of second lumbar vertebra|Structure of anulus fibrosus of intervertebral disc of second lumbar vertebra (body structure)
23528009,Crypt of faucial tonsil|Crypt of palatine tonsil|Structure of crypt of palatine tonsil (body structure)
182215000,Middle facet of subtalar joint (body structure)
180953009,Meninges of clivus (body structure)
181891000,Anterior arch of atlas|Entire anterior arch of atlas (body structure)
307042003,Musculotendinous junction of tibialis anterior (body structure)
170989005,Entire anterior epiglottis (body structure)|Anterior epiglottis
60272005,"""Obturator nerve|Obturator nerve"
12999009,Posterior wall of oropharynx|Structure of posterior wall of oropharynx (body structure)
64353002,Bronchus of right lower lobe|Structure of bronchus of right lower lobe (body structure)|Right inferior lobar bronchus
312794008,T6 dorsal arch|Entire arch of sixth thoracic vertebra (body structure)
56820002,Nail matrix|Nail bed|Nail bed structure (body structure)
368754003,Entire parotid recess (body structure)|Parotid recess
277692009,Preferential interatrial pathway (body structure)
219892003,Entire skin of plantar surface of third toe (body structure)|Skin of plantar surface of third toe
280599004,Scleral aperture (body structure)
86861007,Subcutaneous tissue structure of medial surface of thumb (body structure)|Subcutaneous tissue of medial surface of thumb
49685001,Structure of extensor tendon of middle finger (body structure)|Extensor tendon of middle finger
182030000,Entire anterior inferior iliac spine (body structure)|Anterior inferior iliac spine
303835003,Invertor of intertarsal joint (body structure)
48769006,Interstitial tissue of pituitary (body structure)
120230007,Joint of face (body structure)
243949006,Entire thoracic cavity (body structure)|Thoracic cavity
